Optimal_Peng (kW),Optimal_Pbatt (kW),P_veh (kW)
11.277999891480327,0.07871442225181013,11.356714313732137
19.277999891480327,0.7498814365557962,20.027881328036123
29.277999891480327,0.7746463828518273,30.052646274332155
34.27799989148033,0.6587938207400725,34.9367937122204
43.27799989148033,1.9695421471251038,45.24754203860543
43.27799989148033,13.036432237840046,56.31443212932037
43.27799989148033,16.663145401609178,59.941145293089505
43.27799989148033,17.638909869519033,60.91690976099936
38.27799989148033,0.5943583005327184,38.872358192013046
43.27799989148033,11.330535641594558,54.608535533074885
41.27799989148033,0.922300430496847,42.200300321977174
43.27799989148033,5.577096279026236,48.85509617050656
43.27799989148033,1.2921823792217424,44.57018227070207
43.27799989148033,3.435264577269095,46.71326446874942
30.277999891480327,0.7886068888447646,31.066606780325092
25.277999891480327,0.3486265968626654,25.626626488342993
19.277999891480327,0.5078075434385916,19.78580743491892
1.2779998914803277,0.9263098881661298,2.2043097796464575
