We (rad/s),Te (Nm),Fuel Consumption (g/s)
190.171075297302,87.4690555421,0.783381866266918
268.710891637047,93.3623204585781,1.15881186211189
309.132717113236,96.0902172898445,1.37338582927542
384.321501289151,100.639333498273,1.84007594016853
418.879020478639,115.986923064567,2.28907151860521
418.879020478639,126.496991581269,2.45248902135396
418.879020478639,131.622220012323,2.53284352219815
370.289054103117,100.093146530462,1.74643763760917
418.879020478639,123.107635666607,2.39934992592248
408.092885701314,101.56031332019,1.99992412507535
418.879020478639,114.850876934182,2.27154304545284
418.879020478639,107.443751313094,2.15727062297924
418.879020478639,113.68044339785,2.25348399637947
342.957198016886,98.3565297789679,1.57162422732786
302.116493520218,95.5817838128977,1.33438702290062
253.631246899816,92.3470616516835,1.08379678666201
105.452793405497,58.4898063912385,0.333355502990449
